City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
BALTIMORE,,24 inch bins,,,,4/29/17,270,280,270,280,MARYLAND,,lge,,,,,,,,,E,
BALTIMORE,,24 inch bins,,,,5/6/17,270,280,270,280,MARYLAND,,lge,,,,,,,,,E,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,9/24/16,160,160,160,160,DELAWARE,,med,ORANGE,,,,,,,,N,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,9/24/16,160,160,160,160,VIRGINIA,,med,ORANGE,,,,,,,,N,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/5/16,90,100,90,100,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/12/16,90,100,90,100,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/24/16,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/24/16,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/1/16,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/1/16,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/8/16,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/8/16,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/16,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/16,150,170,150,170,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/16,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/16,140,160,140,160,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/16,100,160,100,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/16,130,160,130,160,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/16,130,130,130,130,MARYLAND,,sml,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/16,120,130,120,130,MARYLAND,,xlge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/16,100,130,100,130,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/16,90,100,90,100,MARYLAND,,med,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/12/16,100,120,100,100,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/16/17,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/23/17,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/17,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/17,150,160,150,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/23/17,160,180,160,180,MARYLAND,,med,,,,,,,,,N,
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/30/17,180,180,180,180,MARYLAND,,med,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/3/17,380,380,380,380,,,xlge,,,,,,,,,E,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/10/17,380,380,380,380,,,xlge,,,,,,,,,E,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/17/17,380,380,380,380,,,xlge,,,,,,,,,E,
BALTIMORE,,24 inch bins,CINDERELLA,,,8/19/17,200,200,200,200,MEXICO,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,8/26/17,200,350,200,350,MEXICO,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/2/17,350,350,350,350,MEXICO,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/17,180,180,180,180,MARYLAND,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/17,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/17,180,200,180,200,MARYLAND,,xlge,,,,,,,,,N,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/17,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,
